task_id,episode_id,time,x,x_dot,theta,theta_dot,u,x_ddot_true,theta_ddot_true,x_ddot_nom,theta_ddot_nom,res_x_ddot,res_theta_ddot,pole_length,cart_mass,pole_mass
0,0,0.0,0.5478467492858172,-0.04604265724722594,-0.18361059042552214,-0.09669447289429418,-2.3108304305046965,-2.870214287531675,2.0630638771446645,-3.8698289656991895,5.3746403176629345,0.9996146781675144,-3.31157644051827,0.375,0.75,0.07500000000000001
0,0,0.02,0.54577781042586,-0.10344694299785945,-0.18471925433255015,-0.05543319535140089,-2.4745468042182415,-3.081773463357776,2.4560196610118896,-4.152198421906503,6.084237383563513,1.070424958548727,-3.6282177225516237,0.375,0.75,0.07500000000000001
0,0,0.04,0.5424761621805597,-0.16508241226501497,-0.1848455103751734,-0.0063128021311631005,-2.5467770273728623,-3.175377785172313,2.6372622912865045,-4.2770536005229545,6.4080124827355185,1.1016758153506414,-3.770750191449014,0.375,0.75,0.07500000000000001
0,0,0.06,0.5379043628211905,-0.22858996796846123,-0.18391686150128206,0.04643244369456699,-2.588972877657309,-3.230838915314728,2.765146004247427,-4.350794871739719,6.6271386580797405,1.1199559564249912,-3.8619926538323135,0.375,0.75,0.07500000000000001
0,0,0.08,0.5320402278956954,-0.2932067462747558,-0.18188215422569176,0.10173536377951553,-2.601634327276413,-3.2488514771523755,2.8420977712508746,-4.374333507060738,6.745453387656071,1.1254820299083628,-3.9033556164051966,0.375,0.75,0.07500000000000001
0,0,0.1,0.5248765523793393,-0.3581837758178033,-0.1787106078416011,0.15857731920453302,-2.5856876363296784,-3.230637728686783,2.871068315581328,-4.349290609885725,6.767909577237826,1.1186528811989418,-3.896841261656498,0.375,0.75,0.07500000000000001
0,0,0.12,0.5164206217715085,-0.42279653039153897,-0.1743906341312779,0.21599868551615958,-2.542380238042965,-3.177812179198922,2.8552948560397224,-4.27781644405864,6.7001429330722395,1.1000042648597184,-3.844848077032517,0.375,0.75,0.07500000000000001
0,0,0.14,0.5066935662919981,-0.4863527739755174,-0.1689285424785388,0.27310458263695403,-2.473229326310699,-3.0923170445530808,2.7982153161332457,-4.162503998340549,6.548308188420828,1.0701869537874682,-3.750092872287582,0.375,0.75,0.07500000000000001
0,0,0.16,0.49572958399466654,-0.548199114866579,-0.16234716469934643,0.32906888895961894,-2.3799684521617457,-2.976356056221113,2.703388830077463,-4.006300167747089,6.318926082497283,1.0299441115259755,-3.61553725241982,0.375,0.75,0.07500000000000001
0,0,0.18,0.4835750592748465,-0.6077262359910013,-0.15468443138812307,0.3831366655611682,-2.2644953542086017,-2.83233052261323,2.5744268446938974,-3.8124197983890764,6.01874897182432,0.9800892757758466,-3.4443221271304227,0.375,0.75,0.07500000000000001
0,0,0.2,0.4702876023459812,-0.6643728464432659,-0.14599192733902214,0.43462520245504616,-2.128823725822101,-2.6627808357962746,2.4149376004438228,-3.5842669087782513,5.654650192418413,0.9214860729819767,-3.23971259197459,0.375,0.75,0.07500000000000001
0,0,0.22,0.45593503308279737,-0.7176284631591914,-0.1363334482497437,0.4829239544639226,-1.9750408949772809,-2.4703356797245224,2.228485152403756,-3.3253661516524033,5.233539337384471,0.855030471927881,-3.005054184980715,0.375,0.75,0.07500000000000001
0,0,0.24,0.4405943295477237,-0.7670351767536818,-0.12578357509950375,0.5274936575119977,-1.805272527476755,-2.25767010566848,2.0185624235082633,-3.0393061215715447,4.762302584659404,0.7816360159030649,-2.7437401611511403,0.375,0.75,0.07500000000000001
0,0,0.26,0.4243505579703827,-0.8121885788670514,-0.11442627697986049,0.567864905982163,-1.6216552237575512,-2.0274733792234265,1.788577910074468,-2.7296957567667044,4.247767389809848,0.7022223775432779,-2.4591894797353797,0.375,0.75,0.07500000000000001
0,0,0.28,0.40729579704135227,-0.85273804645152,-0.10235354769618744,0.6036364641836524,-1.4263154460341716,-1.7824244027646652,1.5418502296994707,-2.4001309388138243,3.696681158625186,0.6177065360491591,-2.1548309289257155,0.375,0.75,0.07500000000000001
0,0,0.3,0.389528066351216,-0.8883865345068133,-0.08966407832063461,0.6344734687776418,-1.2213560033640811,-1.5251762055021711,1.2816126840283826,-2.0541733010386047,3.1157077172019325,0.5289970955364336,-1.83409503317355,0.375,0.75,0.07500000000000001
0,0,0.32,0.3711502651788789,-0.9188900586168567,-0.07646196387147042,0.6601057224582094,-1.0088471907457686,-1.2583456890823963,1.0110201518203077,-1.6953361721540448,2.5114278440789377,0.43699048307164845,-1.50040769225863,0.375,0.75,0.07500000000000001
0,0,0.34,0.3522691257309088,-0.9440569723985046,-0.06285544136157811,0.6803261254946156,-0.7908220612682028,-0.9845079686996605,0.7331573973895833,-1.3270767747936913,1.8903422018310745,0.34256880609403084,-1.1571848044414912,0.375,0.75,0.07500000000000001
0,0,0.36,0.33299418309545886,-0.9637471317724978,-0.04895565589272997,0.6949892734424072,-0.5692742396350099,-0.7061933100836526,0.45104566988632966,-0.9527920030400994,1.2588710978477244,0.24659869295644676,-0.8078254279613948,0.375,0.75,0.07500000000000001
