trajectory,time,x1,x2,x2_dot,x2_dot_nominal,residual,mu
0,0.0,-0.4856473111580327,1.8043479848876691,-0.39943080823348076,0.7614046189087134,-1.1608354271421941,0.0
0,0.02,-0.4276086713397136,1.7963593687229995,0.8647739843178144,0.7211879790802258,0.14358600523758858,0.0
0,0.04,-0.4351968787963315,1.8389389442603816,1.079578269566177,0.7333270126800135,0.34625125688616354,0.0
0,0.06,-0.3986833652518001,1.8395424995056464,0.5159099214465641,0.7081133882815108,-0.1922034668349467,0.0
0,0.08,-0.31667939051826444,1.859575341118244,0.5072266677562354,0.6512966450631446,-0.14406997730690918,0.0
0,0.1,-0.3001596382861299,1.8598315662158957,0.41596494074124024,0.6386133458192447,-0.22264840507800443,0.0
0,0.12,-0.2941368742316407,1.8762139387478933,-0.4487838993915858,0.636914969041158,-1.0856988684327438,0.0
0,0.14,-0.23177489349692665,1.8418802102402325,0.41321015891155355,0.5803619214540685,-0.16715176254251496,0.0
0,0.16,-0.21976323026138275,1.8927423451043552,0.6667938108539673,0.580029368841959,0.08676444201200828,0.0
0,0.18,-0.18257551173476166,1.8685519626743912,0.6452919250869087,0.5438287102525561,0.10146321483435261,0.0
0,0.2,-0.12756878274203906,1.9185540221078319,-0.41985698456986853,0.5050351564501404,-0.9248921410200089,0.0
0,0.22,-0.1440819458784427,1.8517576832915965,-0.11499218622377327,0.5067451301364403,-0.6217373163602136,0.0
0,0.24,-0.10196688314718672,1.913954334658881,0.6141282588863675,0.48077777955266293,0.13335047933370453,0.0
0,0.26,-0.03547232105829629,1.8763228136470511,-1.4698425427469601,0.4102646938067705,-1.8801072365537306,0.0
0,0.28,-0.009299536660644387,1.8551606329490027,-0.44129956339796195,0.38029957587933294,-0.8215991392772949,0.0
0,0.3,0.06130620426137266,1.8586708311111326,0.15428400537221876,0.30903081743068833,-0.15474681205846957,0.0
0,0.32,0.06815550800434914,1.8613319931638914,0.4774444234679933,0.30238164870368556,0.17506277476430776,0.0
0,0.34,0.0929168877427663,1.8777686080498526,0.39947076967743556,0.27939447277466484,0.12007629690277072,0.0
0,0.36,0.20218139157904386,1.877310823950989,-0.7885765345362756,0.15793288799258198,-0.9465094225288576,0.0
0,0.38,0.1971438870454325,1.8462255466684012,-0.5442407726852636,0.1577502481378555,-0.701991020823119,0.0
0,0.4,0.24164222859120554,1.8555411930435786,1.4579695074874124,0.10779664123762717,1.3501728662497852,0.0
0,0.42,0.2414038992104298,1.9045443269678974,0.8182472757216388,0.11730718111605096,0.7009400946055878,0.0
0,0.44,0.30036978054770913,1.888271084072444,-1.379977743390505,0.043211715604041245,-1.4231894589945462,0.0
0,0.46,0.3535827036973776,1.8493452172322773,-1.4066745080752199,-0.029954957458175835,-1.376719550617044,0.0
0,0.48,0.35872408457443145,1.8320041037494352,-0.5852084739018579,-0.03947280922909563,-0.5457356646727622,0.0
0,0.5,0.433425171715841,1.8259368782762029,-0.06448870087528036,-0.13684093946924247,0.07235223859396211,0.0
0,0.52,0.44538064904601715,1.829424555714424,-1.1749391546927583,-0.15207410407733624,-1.022865050615422,0.0
0,0.54,0.48928391914068664,1.7789393120884924,-1.0412852355661215,-0.21867122750677087,-0.8226140080593507,0.0
0,0.56,0.5175147176586641,1.7877731462917792,-0.9366943066876701,-0.25572089945941023,-0.6809734072282598,0.0
0,0.58,0.6146327212433973,1.741471539820986,-0.15857829621739228,-0.39791473193821736,0.23933643572082508,0.0
0,0.6,0.6035298415333804,1.7814300144430844,0.8427674114904278,-0.37702039868723425,1.219787810177662,0.0
0,0.62,0.6127250527388911,1.7751822362806031,-1.1914901644755886,-0.39098064548880146,-0.8005095189867872,0.0
0,0.64,0.6947770454684988,1.7337704078640608,-0.09585957009289103,-0.5154064099367105,0.41954683984381946,0.0
0,0.66,0.6784690337817493,1.7713478534768874,-1.1740496005719194,-0.48727691328027767,-0.6867726872916418,0.0
0,0.68,0.7487056538704691,1.686808423841184,-2.6434450173513966,-0.6004554877907611,-2.0429895295606357,0.0
0,0.7000000000000001,0.7286896855665862,1.6656100527828315,0.12770440068625533,-0.572451684296121,0.7001560849823764,0.0
0,0.72,0.7783638650853796,1.6919165998686336,0.7571120133915485,-0.6449901832222915,1.40210219661384,0.0
0,0.74,0.8500531632644222,1.6958945333184934,0.06608830829028278,-0.7559616717823106,0.8220499800725933,0.0
0,0.76,0.8968188549500314,1.6945601322002448,-1.8204803082730265,-0.8304883686414632,-0.9899919396315633,0.0
0,0.78,0.9155158693593897,1.6230753209875723,-1.2902928102290616,-0.8629831885779333,-0.4273096216511283,0.0
0,0.8,0.9408503808883555,1.6429484197910824,-0.6816497191220776,-0.9031281009026944,0.22147838178061674,0.0
0,0.8200000000000001,0.9683459830250012,1.5958093322226892,-1.7584055066102096,-0.9484602655312249,-0.8099452410789847,0.0
0,0.84,0.9706512512472336,1.572612199526674,-0.4315017897825584,-0.9524604847213268,0.5209586949387685,0.0
0,0.86,1.0209544039574558,1.5785492606313873,-0.5233769552074179,-1.0343240516131758,0.5109470964057579,0.0
0,0.88,1.0583569891020168,1.551677121318377,-2.607294608076046,-1.0956343301804887,-1.5116602778955572,0.0
0,0.9,1.126803751970196,1.4742574763083456,-0.5850592270342219,-1.206321277377019,0.6212620503427972,0.0
0,0.92,1.1390356940573003,1.5282747522370084,0.7176199818272622,-1.2299381830974851,1.9475581649247473,0.0
0,0.9400000000000001,1.115992190665591,1.502962275581436,-2.4735265327781875,-1.1897691728898758,-1.2837573598883116,0.0
