time,x,x_dot,theta,theta_dot,u,x_ref,theta_ref
4.789579158316633,0.013211411635453942,-0.8849971753216243,-0.11370963062861021,0.9852365971543245,-1.4343378895802228,0.0,0.0
4.809619238476953,-0.005017585659282474,-0.9114498647368208,-0.0938836913959877,0.9912969616311255,-0.9854404895708724,0.0,0.0
4.829659318637274,-0.02360594130685661,-0.9294177823787069,-0.07407230488054621,0.9905693257720748,-0.5414226875554338,0.0,0.0
4.849699398797595,-0.042385760059471575,-0.938990937630748,-0.054409565296636715,0.9831369791954748,-0.10477207233002322,0.0,0.0
4.869739478957916,-0.061191918469824455,-0.9403079205176438,-0.035026970018131126,0.9691297639252796,0.32196940419146935,0.0,0.0
4.889779559118236,-0.07986305806453246,-0.9335569797354005,-0.016052440166698233,0.9487264925716447,0.7362178050763697,0.0,0.0
4.909819639278557,-0.09824259323811625,-0.9189767586791895,0.0023906872394652487,0.9221563703081741,1.1353692811475111,0.0,0.0
4.929859719438878,-0.11617972349730682,-0.8968565129595284,0.02018467211208506,0.8896992436309906,1.5168309673905451,0.0,0.0
4.949899799599198,-0.13353043662277897,-0.8675356562736071,0.037218363463477774,0.8516845675696357,1.8780593576609768,0.0,0.0
4.969939879759519,-0.15015848688085381,-0.8314025129037425,0.05338814460565773,0.8084890571089978,2.2166043701290494,0.0,0.0
4.98997995991984,-0.16593633074745406,-0.7888921933300118,0.06859880586557748,0.7605330629959874,2.5301569332527754,0.0,0.0
5.01002004008016,-0.18074600180518743,-0.7404835528866683,0.08276432150351633,0.7082757818969422,2.8165976314369514,0.0,0.0
5.03006012024048,-0.19447990660700246,-0.6866952400907508,0.09580851093664704,0.6522094716565352,3.0740437855590033,0.0,0.0
5.050100200400801,-0.20704152438412465,-0.6280808888561091,0.10766556874998472,0.5928528906668838,3.300892338144747,0.0,0.0
5.070140280561122,-0.2183459954751345,-0.5652235545504921,0.11828045302212198,0.5307442136068631,3.495856089356793,0.0,0.0
5.090180360721443,-0.228320586171027,-0.4987295347946246,0.12760912687554535,0.4664336926711679,3.657991195639916,0.0,0.0
5.110220440881763,-0.2369050211523453,-0.4292217490659158,0.1356186535470645,0.40047633357595847,3.7867143841446502,0.0,0.0
5.130260521042084,-0.24405167863007282,-0.3573328738863756,0.14228715034393538,0.33342483984354376,3.881809015313242,0.0,0.0
5.150300601202405,-0.24972564744306486,-0.2836984406496017,0.14760361132107716,0.2658230488570895,3.9434198837218535,0.0,0.0
5.170340681362725,-0.2539046494430751,-0.20895010000051412,0.15156761215231088,0.19820004156168647,3.972037409178348,0.0,0.0
5.190380761523046,-0.25657883425108985,-0.13370924040073717,0.15418891330920112,0.131065057844512,3.9684725580766207,0.0,0.0
5.210420841683367,-0.25775045666455504,-0.05858112067325971,0.15548697921816504,0.06490329544819631,3.9338243798216803,0.0,0.0
5.2304609218436875,-0.2574334494574729,0.015850360354108653,0.1554904315351734,0.00017261585041689065,3.869442395387376,0.0,0.0
5.2505010020040075,-0.25565290593786605,0.08902717598034035,0.15423645413105366,-0.06269887020598701,3.776886212148484,0.0,0.0
5.270541082164328,-0.25244448738019093,0.16042092788375678,0.1517701659599269,-0.12331440855633818,3.6578846667731213,0.0,0.0
5.290581162324649,-0.2478537703778386,0.2295358501176172,0.14814397587988945,-0.1813095040018719,3.5142965465260914,0.0,0.0
5.31062124248497,-0.24193554836852657,0.2959111004656011,0.14341693092973817,-0.23635224750756323,3.3480745557461358,0.0,0.0
5.33066132264529,-0.23475310022312973,0.3591224072698417,0.13765406676807343,-0.2881432080832378,3.1612337332392695,0.0,0.0
5.350701402805611,-0.22637743703082597,0.41878315961518753,0.13092576617064022,-0.33641502987165967,2.9558250413317952,0.0,0.0
5.370741482965932,-0.21688653624021348,0.474545039530624,0.12330712885146397,-0.3809318659588127,2.7339143837882687,0.0,0.0
5.390781563126252,-0.20636457029646288,0.5260982971875303,0.11487735358000664,-0.4214887635728664,2.4975669019227142,0.0,0.0
5.410821643286573,-0.19490113499508746,0.5731717650687714,0.10571913172485767,-0.457911092757449,2.248836179180705,0.0,0.0
5.430861723446894,-0.1825904810264244,0.6155326984331537,0.0959180499703574,-0.49005408772501335,1.9897569426079356,0.0,0.0
5.4509018036072145,-0.1695307510057184,0.6529865010352995,0.08556199951817506,-0.5178025226091171,1.7223419946781984,0.0,0.0
5.4709418837675345,-0.1558232228246395,0.685376409053945,0.07474058825673156,-0.5410705630721748,1.4485807857465955,0.0,0.0
5.490981963927855,-0.1415715597065504,0.7125831559044564,0.06354455299644066,-0.5598017630145455,1.170438598581673,0.0,0.0
5.511022044088176,-0.12688106728288423,0.7345246211833082,0.05206516995494897,-0.5739691520745844,0.8898571958807611,0.0,0.0
5.531062124248497,-0.1118579575906377,0.7511554846123267,0.04039366207902544,-0.5835753937961762,0.6087543238929183,0.0,0.0
5.551102204408817,-0.09660862046296204,0.7624668563837832,0.0286206034723938,-0.5886529303315823,0.32902215141672647,0.0,0.0
5.571142284569138,-0.0812389032935055,0.7684858584728269,0.016835322566957328,-0.5892640452718236,0.05252397575834872,0.0,0.0
5.591182364729459,-0.06585340088832543,0.769275120259003,0.005125307143003544,-0.5855007711976892,-0.2189111671126442,0.0,0.0
