time,x,x_dot,z,z_dot,theta,theta_dot,u1,u2,x_ref,z_ref,theta_ref
0.0,0.45979699052943523,0.03868299136037606,1.4419210172345827,-0.08806958799104517,0.07620838829026134,0.08447950380264324,0.058684374413148895,0.056323374915154795,0,1,0
0.02004008016032064,0.4606996915093383,0.04513504899515304,1.4379400433945402,-0.19904869200212416,0.07600771341749613,-0.010033743638259957,0.07371686476045458,0.05632337490767285,0,1,0
0.04008016032064128,0.46174819800592554,0.0524253248293615,1.43196383478952,-0.2988104302510064,0.06189240960956932,-0.7057651903963398,0.06520340399205839,0.056323374908243316,0,1,0
0.06012024048096192,0.4629323235403462,0.059206276721033,1.4238690562106864,-0.4047389289416811,0.04069305266238477,-1.059967847359228,0.062486768186606756,0.05632337490489069,0,1,0
0.08016032064128256,0.46422398468761833,0.06458305736360818,1.4136201824426677,-0.5124436884009277,0.0145990255237671,-1.3047013569308834,0.05946402913720379,0.056323380588411666,0,1,0
0.1002004008016032,0.4655838631334403,0.06799392229109852,1.401177691554354,-0.6221245444156933,-0.013958553966847857,-1.4278789745307479,0.05760818462242229,0.05632337490488054,0,1,0
0.12024048096192384,0.4669666132896951,0.06913750781273902,1.3865190792562185,-0.7329306149067718,-0.04348809414247884,-1.4764770087815493,0.05632360540272073,0.056323374908710484,0,1,0
0.1402805611222445,0.46832414898388547,0.06787678470951937,1.3696295085844379,-0.8444785335890302,-0.07295931473725481,-1.4735610297387995,0.05632337490488931,0.05690763693163576,0,1,0
0.16032064128256512,0.46960675043128075,0.064130072369765,1.3505208071497985,-0.9554350717319695,-0.10190501011019142,-1.4472847686468302,0.05632337490488186,0.05838294683470663,0,1,0
0.18036072144288576,0.4707634695790286,0.057835957387391924,1.3292168632888623,-1.0651971930468067,-0.1291470679706499,-1.3621028930229218,0.056323374904884434,0.05905050695072568,0,1,0
0.2004008016032064,0.47174439710744315,0.04904637642072749,1.3057285190973587,-1.1744172095751897,-0.15415675138308077,-1.2504841706215444,0.056323375910572605,0.060075149780153714,0,1,0
0.22044088176352705,0.4725015319158768,0.03785674042168154,1.280071114696317,-1.282870220052074,-0.17612092720482933,-1.0982087910874272,0.12991949140160777,0.13405838602059772,0,1,0
0.24048096192384769,0.47265679495064383,0.007763151738351796,1.2544049865746074,-1.2833064060854822,-0.19473791764119017,-0.9308495218180413,0.1840871794532486,0.18928637976245338,0,1,0
0.2605210420841683,0.47184259709268,-0.04070989289819264,1.2303116344814902,-1.2046676046558635,-0.20916751132553188,-0.721479684217085,0.22485100721112974,0.2306058753184624,0,1,0
0.280561122244489,0.4697241291334002,-0.10592339796399017,1.2089607606817858,-1.0675436899852184,-0.21897381760997361,-0.4903153142220893,0.24311929444852262,0.24905460700563473,0,1,0
0.3006012024048096,0.4660951332060044,-0.18144979636979158,1.190857832790213,-0.9051463945786332,-0.22402041056092323,-0.2523296475474799,0.2448755916346512,0.25051581544271795,0,1,0
0.32064128256513025,0.4608774551801088,-0.2608839012947789,1.176026636613781,-0.7415598088216054,-0.2245498259253478,-0.0264707682212256,0.2343276593128833,0.2393800199142113,0,1,0
0.3406813627254509,0.4541081985066239,-0.3384628336742467,1.1641391623908386,-0.5943737111471207,-0.2210369186316345,0.17564536468566272,0.2162294483259001,0.22051317046470137,0,1,0
0.3607214428857715,0.4459073443747139,-0.4100427065954976,1.1546555243672898,-0.4741819011774347,-0.2141003587186653,0.34682799564846084,0.1966159836231725,0.200150222268959,0,1,0
0.3807615230460922,0.43642845865994523,-0.47394428573843406,1.1469992388090564,-0.382814277911669,-0.20434394979227216,0.4878204463196588,0.17744516217775655,0.18024113809220985,0,1,0
0.4008016032064128,0.42583589387856235,-0.5296282390691444,1.1406108777764619,-0.3194180516297279,-0.19236247921775887,0.5990735287256655,0.16048624406828155,0.16263552403115136,0,1,0
0.42084168336673344,0.4142856454614228,-0.5775124208569767,1.134998180971366,-0.2806348402547878,-0.17867703548957722,0.6842721864090817,0.14655462353509505,0.14814559854299952,0,1,0
0.4408817635270541,0.4019158992018276,-0.6184873129797624,1.129758258446228,-0.2619961262568994,-0.16373737095293925,0.7469832268319019,0.1359130249063325,0.13703983032457898,0,1,0
0.4609218436873747,0.3888440094651491,-0.6535944868339243,1.124584711824305,-0.2586773310961436,-0.14791724215234672,0.791006440029624,0.1284172719732316,0.12915953263148525,0,1,0
0.48096192384769537,0.3751679021311377,-0.6838053667005697,1.119263127457046,-0.2660792183629542,-0.13152604629329862,0.8195597929524054,0.12369278253074702,0.1241204567614833,0,1,0
0.501002004008016,0.36096969201728374,-0.7099105056926994,1.1136601413457126,-0.2801493055666735,-0.1148166168183709,0.8354714737463879,0.12134599001684643,0.12151713344172453,0,1,0
0.5210420841683366,0.34631964536138793,-0.7325023327947907,1.1077119547254712,-0.2974093310120616,-0.09799482746110479,0.8410894678633041,0.12090933332528683,0.12087122727249665,0,1,0
0.5410821643286573,0.3312802217777812,-0.7519711791803356,1.10141063875025,-0.31506579876106205,-0.08122829496780436,0.8383266246650212,0.12192583879111381,0.12171505694818839,0,1,0
0.561122244488978,0.31590949317005007,-0.7685364303865578,1.094790651490371,-0.33099936299395166,-0.06465502213760595,0.8286636415099204,0.12399716419559353,0.12364323062032316,0,1,0
0.5811623246492986,0.30026367230933276,-0.7822910430358656,1.0879170418062774,-0.34368048420468156,-0.04838910283467682,0.8132959651464554,0.12674880182057066,0.12627505580122456,0,1,0
