time,x,x_dot,z,z_dot,theta,theta_dot,u1,u2,x_ref,z_ref,theta_ref
2.5433911882510016,0.22883772731596788,-0.1761956197493153,1.3301053706066066,0.10156631022087696,-0.00517941975293877,-0.007147595482851581,0.1313329170464415,0.13135254698620033,0.242710050897637,1.4371405165313167,0.0
2.5634178905206944,0.2252976073667219,-0.17700599746229811,1.332106328403092,0.10004788982427562,-0.005306552532014085,-0.006356638953765839,0.13132798134265022,0.13134744249748995,0.23903939679409614,1.439158475701329,0.0
2.583444592790387,0.22174073978835857,-0.17784337891816682,1.334076795522404,0.09852335596559599,-0.005418014034612706,-0.005573075129931075,0.13132304706567818,0.1313422522411663,0.23535196608266626,1.4411456132174767,0.0
2.6034712950600802,0.21816664673115035,-0.1787046528604108,1.33601664875347,0.09699266155329161,-0.005514021730769583,-0.004800384807843747,0.13131811631190468,0.1313369853849144,0.2316480175599309,1.4431017896156073,0.0
2.623497997329773,0.2145749119225003,-0.17958674043250247,1.3379257641376083,0.09545576920692424,-0.005594856993733963,-0.004041763148219105,0.13131319193781754,0.13133165213888837,0.22792781118175007,1.4450268676045261,0.0
2.643524699599466,0.2109651797483457,-0.1804866087077311,1.3398040171844638,0.09391265234277556,-0.005660859166307412,-0.0033001086286723737,0.13130827740113987,0.13132626346236767,0.22419160804501612,1.4469207120756318,0.0
2.663551401869159,0.20733715408657397,-0.18140128308858572,1.3416512831030138,0.09236329592749476,-0.005712419513941676,-0.002578017381713291,0.1313033766176753,0.1313208307991027,0.2204396703693293,1.4487831901123989,0.0
2.683578104138852,0.2036905969158991,-0.18232785853374228,1.3434674370417503,0.09080769693682252,-0.0057499751618365815,-0.001877782394745231,0.1312984938324634,0.13131536584094097,0.21667226147859353,1.4506141709997058,0.0
2.7036048064085447,0.2000253267240618,-0.1832635095918646,1.3452523543328399,0.08924586455447603,-0.0057740031020242005,-0.0012013970093809974,0.1312936335034627,0.1313098803186579,0.21288964578253633,1.4524135262330098,0.0
2.723631508678238,0.19634121673925178,-0.18420549924050084,1.3470059107357106,0.08767782014353406,-0.005785014344613998,-0.0005505621294899154,0.13128880019566097,0.13130438581857978,0.2090920887581508,1.4541811295273654,0.0
2.7436582109479306,0.19263819300834795,-0.18515118654519142,1.3487279826760994,0.08610359701944013,-0.005783548275025724,7.33034794137172e-05,0.13128399848336542,0.131298893623529,0.205279856931064,1.455916856826288,0.0
2.7636849132176238,0.18891623234497992,-0.18609803316840054,1.3504184474771073,0.08452324005039452,-0.005770167266248222,0.000669050438875075,0.13127923285845422,0.13129341457669408,0.20145321785683135,1.4576205863104588,0.0
2.7837116154873165,0.18517536016958114,-0.1870436087699399,1.3520771835792607,0.08293680510767201,-0.0057454515948486915,0.001235783569976496,0.1312745076390661,0.13128795897191273,0.19761244010215828,1.459292198406277,0.0
2.8037383177570097,0.1814156482625792,-0.18798559535009765,1.3537040707469885,0.08134435838639398,-0.00570999465414641,0.001772847035114014,0.13126982689060387,0.13128253645548799,0.19375779322605147,1.4609315757942503,0.0
2.8237650200267024,0.17763721245065647,-0.18892179059613598,1.3552989902592805,0.0797459756145979,-0.005664398477382961,0.002279808838172472,0.1312651943511165,0.13127715594915013,0.18988954776090067,1.462538603417229,0.0
2.843791722296395,0.17384021024482632,-0.1898501102915075,1.3568618250826674,0.07814174116934336,-0.005609269582303522,0.002756444753971965,0.13126061336115435,0.13127182559756845,0.18600797519349074,1.4641131684884816,0.0
2.8638184245660883,0.1700248384478343,-0.1907685898496009,1.3583924600250847,0.07653174712086186,-0.005545215122789317,0.0032027229757101384,0.13125608680821704,0.13126655273486643,0.1821133479459492,1.46565516049961,0.0
2.883845126835781,0.16619133074711437,-0.1916753850359973,1.3598907818696622,0.07491609222887063,-0.0054728393296582314,0.003618789656554375,0.1312516170925733,0.13126134387038868,0.17820593935662546,1.467164471228306,0.0
2.903871829105474,0.16233995530830692,-0.19256877194037203,1.3613566794880656,0.0732948809201687,-0.005392740224458604,0.004004955259981279,0.13124720612175905,0.13125620469404448,0.17428602366090765,1.4686409947459458,0.0
2.923898531375167,0.15847101238319417,-0.1934471462556371,1.3627900439337082,0.07166822228212702,-0.005305506597371189,0.004361681354370783,0.13124285534009986,0.1312511401016119,0.1703538759719759,1.4700846274250252,0.0
2.94392523364486,0.1545848319448202,-0.19430902191869884,1.364190768515939,0.07003622911153298,-0.0052117152523877,0.00468956724917447,0.13123856579660906,0.1312461542400175,0.16640977226149334,1.4714952679464322,0.0
2.9639519359145527,0.1506817713615126,-0.1951530291653801,1.3655587488571517,0.06839901706063475,-0.005111928537651066,0.004989335736831768,0.13123433825000336,0.13124125057198605,0.16245398934023828,1.4728728173065584,0.0
2.983978638184246,0.14676221312046164,-0.19597791205254683,1.3668938829355668,0.06675670392075765,-0.0050066921930213455,0.005261817231486005,0.1312301733038259,0.13123643195820076,0.15848680483867594,1.4742171788242466,0.0
3.0040053404539386,0.14282656261038568,-0.19678252550379777,1.368196071117111,0.06510940907721616,-0.0048965335569808345,0.00550793180202557,0.13122607124397206,0.13123170035173343,0.15450849718747373,1.4755282581475768,0.0
3.024032042723632,0.1388752459716164,-0.1975658319384634,1.3694652161696366,0.06345725262627559,-0.0047819602470623975,0.005728665495921815,0.13122203288228693,0.1312270578499584,0.15051934559796026,1.476805963260488,0.0
3.0440587449933245,0.13490870802035207,-0.19832689756321673,1.370701223287713,0.06180035590381801,-0.0046634591467607876,0.0059250550150805464,0.13121805960533783,0.13122250657394097,0.1465196300425287,1.4780502044892363,0.0
3.0640854472630177,0.13092741025213434,-0.19906488841088615,1.3719040001270242,0.060138841965567416,-0.004541495834180171,0.006098165629030789,0.13121415281709675,0.13121804794418893,0.14250963123498808,1.479260894508688,0.0
3.0841121495327104,0.12693182892848934,-0.19977906618225003,1.3730734568294565,0.058472835121611805,-0.004416514585598872,0.006249062429064925,0.13121031434253919,0.13121368329481534,0.13848963061086125,1.4804379483484493,0.0
3.104138851802403,0.12292245324878069,-0.20046878398543258,1.374209506054018,0.05680246122807565,-0.004288938785026806,0.006378790028603396,0.1312065458946727,0.13120941337964553,0.13445991030763285,1.481581283398829,0.0
