time,x,x_dot,z,z_dot,theta,theta_dot,u1,u2,x_ref,z_ref,theta_ref
0.0,0.8112085533806241,-0.08455464135765137,0.7725697559186377,0.024370096449226608,0.17361136331574561,-0.0830106426122447,0.29668288666357623,0.2698549866036599,0.5,1.0,0.0
0.020026702269692925,0.810968770397832,-0.011989149139606067,0.7774037160543495,0.2416980067855917,0.15049026883808586,-1.1560547238829892,0.2966828865540255,0.2783863833396284,0.4999824541392403,1.0041887412073853,0.0
0.04005340453938585,0.8122008964448765,0.061606302352222,0.7867043466961356,0.46503153208930315,0.11277576430424326,-1.8857252266921307,0.283621590907156,0.27651926763539486,0.4999298177883902,1.0083771884344908,0.0
0.06008010680907877,0.8146756918809663,0.12373977180449061,0.8002786387603971,0.6787146032130711,0.06947050852178385,-2.1652627891229708,0.14256998461985224,0.1470793166289444,0.49984209464164997,1.0125650477216688,0.0
0.0801068090787717,0.8176300486023222,0.14771783606779532,0.8141784212026835,0.6949891221143223,0.029878994262890902,-1.979575712944647,0.1006597608900103,0.10731527212910749,0.49971929085573213,1.0167520251505358,0.0
0.10013351134846463,0.8207942368096245,0.15820941036511135,0.8272128626593351,0.6517220728325852,-0.004297910703916043,-1.708845248340347,0.1634757688412513,0.1634648615804183,0.4995614150494292,1.0209378268645999,0.0
0.12016021361815754,0.8240988953306544,0.1652329260514926,0.841151286320432,0.6969211830548417,-0.03840947242810535,-1.7055780862094652,0.1490791564551333,0.15360948226586718,0.49936847830300873,1.0251221590898847,0.0
0.14018691588785048,0.8273797436206021,0.16404241449738172,0.8556348073399282,0.724176050974813,-0.06882504869817975,-1.5207788135037201,0.14962006701788533,0.1533218492356517,0.499140494157436,1.0293047281555483,0.0
0.1602136181575434,0.8304836779268664,0.1551967153132135,0.8706628562911521,0.7514024475611948,-0.09621923215587444,-1.369709172884734,0.12099452716648143,0.12544293937522066,0.4988774786134233,1.0334852405144925,0.0
0.1802403204272363,0.8333321470694849,0.1424234571309235,0.8853919402694627,0.7364541989155254,-0.12000408807484982,-1.1892427959487681,0.15306806286155028,0.15520633682821694,0.49857945013030697,1.0376634027639664,0.0
0.20026702269692925,0.8357378699336439,0.1202861432079456,0.9007263057131772,0.7667182721857302,-0.14203715200423522,-1.1016531964692704,0.07402228856595594,0.07901217076094091,0.4982464296247522,1.0418389216661577,0.0
